train_loss,train_acc,test_loss,test_acc
0.003769939299672842,99.95166778564453,0.05742982402443886,98.37999725341797
0.002772452775388956,99.97833251953125,0.05707046017050743,98.41000366210938
0.0023624009918421507,99.98666381835938,0.057868245989084244,98.41999816894531
0.0020823865197598934,99.99333190917969,0.05849635228514671,98.41999816894531
0.0018720499938353896,99.99333190917969,0.05897943675518036,98.41999816894531
0.0017405996331945062,99.99500274658203,0.05858650803565979,98.43000030517578
0.0016069208504632115,99.99666595458984,0.05879867449402809,98.41000366210938
0.0015211568679660559,99.99666595458984,0.05929391086101532,98.5
0.001451960764825344,99.99833679199219,0.05931916832923889,98.45999908447266
0.001381073845550418,100.0,0.05952277034521103,98.44000244140625
0.0013336293632164598,100.0,0.05954786390066147,98.45999908447266
0.0012873655650764704,100.0,0.05955711752176285,98.44999694824219
0.0012503003235906363,100.0,0.059736467897892,98.41000366210938
0.001222230726853013,99.99833679199219,0.05971463769674301,98.44999694824219
0.0011940494878217578,100.0,0.05966237932443619,98.4800033569336
0.0011699064634740353,100.0,0.05968315899372101,98.44999694824219
0.0011385866673663259,100.0,0.06002255529165268,98.43000030517578
0.0011253488482907414,100.0,0.059788208454847336,98.43000030517578
0.0011093728244304657,100.0,0.05989798903465271,98.43000030517578
0.0010858876630663872,100.0,0.060023535043001175,98.44000244140625
0.0010753737296909094,100.0,0.060315437614917755,98.41999816894531
0.0010627667652443051,100.0,0.060265716165304184,98.45999908447266
0.0010497812181711197,100.0,0.06049978360533714,98.44000244140625
0.0010360428132116795,100.0,0.060505352914333344,98.43000030517578
0.0010280165588483214,100.0,0.06028773635625839,98.4000015258789
0.0010130599839612842,100.0,0.060077816247940063,98.44000244140625
0.0010089214192703366,100.0,0.06035536155104637,98.38999938964844
0.0010026749223470688,100.0,0.06073206290602684,98.4000015258789
0.0009980497416108847,100.0,0.06024692952632904,98.41000366210938
0.0009915874106809497,100.0,0.06047234684228897,98.41999816894531
